"user_id";"movie_id";"rating"
"1";"1003580";3
"1";"1077280";4
"1";"267805";5
"1";"315162";5
"1";"505642";3
"1";"840789";1
"10";"500436270";1
"10";"631842";4
"10";"758009";2
"10";"823999";3
"10";"840789";2
"10";"934433";4
"10";"965839";5
"11";"1003580";1
"11";"1035806";5
"11";"1058949";2
"11";"1077280";3
"11";"315162";4
"11";"500436270";3
"11";"677179";4
"11";"785084";2
"11";"937278";2
"12";"1003580";4
"12";"315162";3
"12";"500436270";4
"12";"505642";4
"12";"758009";5
"12";"782936";2
"12";"785084";3
"12";"965839";3
"13";"267805";5
"13";"497828";4
"13";"536554";4
"13";"677179";4
"13";"782936";5
"13";"906221";1
"13";"934433";5
"14";"1077280";4
"14";"267805";4
"14";"315162";1
"14";"500436270";4
"14";"536554";1
"14";"631842";2
"14";"785084";4
"14";"985939";4
"15";"315162";4
"15";"497828";2
"15";"631842";4
"15";"646389";1
"15";"758009";5
"15";"782936";2
"15";"842544";2
"15";"906221";1
"15";"937278";1
"15";"965839";4
"15";"985939";1
"16";"1035806";4
"16";"505642";4
"16";"536554";1
"16";"631842";5
"16";"906221";1
"16";"937278";4
"16";"965839";4
"16";"985939";5
"17";"1003580";1
"17";"1035806";3
"17";"505642";4
"17";"536554";4
"17";"840789";1
"17";"842544";4
"17";"843794";1
"17";"934433";3
"17";"965839";2
"18";"1058949";5
"18";"497828";2
"18";"500436270";2
"18";"758009";5
"19";"267805";4
"19";"315162";2
"19";"646389";4
"19";"842544";4
"19";"843794";5
"19";"934433";4
"19";"985939";2
"2";"1035806";2
"2";"1058949";3
"2";"536554";3
"2";"631842";5
"2";"677179";2
"2";"782936";3
"2";"906221";1
"2";"934433";1
"20";"1003580";5
"20";"631842";4
"20";"646389";2
"20";"677179";5
"20";"758009";3
"20";"842544";3
"20";"843794";3
"20";"937278";3
"21";"505642";4
"21";"646389";2
"21";"823999";4
"21";"985939";2
"22";"1077280";2
"22";"267805";5
"22";"315162";1
"22";"758009";3
"22";"823999";5
"22";"842544";5
"22";"843794";4
"23";"1035806";2
"23";"497828";1
"23";"505642";3
"23";"631842";4
"23";"646389";5
"23";"677179";5
"23";"782936";2
"23";"823999";3
"23";"842544";4
"23";"934433";2
"23";"965839";1
"23";"985939";5
"24";"1077280";5
"24";"500436270";5
"24";"536554";3
"24";"677179";1
"24";"758009";3
"24";"823999";5
"24";"840789";1
"24";"934433";2
"24";"965839";4
"25";"1058949";1
"25";"1077280";1
"25";"267805";4
"25";"500436270";1
"25";"631842";3
"25";"758009";2
"25";"782936";5
"25";"785084";5
"25";"840789";5
"25";"842544";3
"25";"906221";2
"25";"937278";3
"26";"267805";2
"26";"315162";4
"26";"505642";5
"26";"631842";3
"26";"646389";3
"26";"782936";4
"26";"842544";2
"26";"934433";4
"26";"965839";4
"27";"1058949";3
"27";"1077280";1
"27";"536554";3
"27";"631842";1
"27";"823999";1
"27";"843794";1
"27";"937278";5
"27";"985939";5
"28";"1035806";1
"28";"1058949";1
"28";"1077280";1
"28";"315162";4
"28";"500436270";1
"28";"505642";4
"28";"758009";5
"28";"823999";5
"28";"843794";3
"29";"500436270";3
"29";"646389";3
"29";"677179";1
"29";"785084";3
"29";"823999";4
"29";"843794";3
"29";"985939";4
"3";"1003580";3
"3";"1077280";1
"3";"497828";4
"3";"505642";2
"3";"536554";2
"3";"782936";3
"3";"840789";5
"3";"842544";5
"3";"934433";3
"3";"965839";2
"30";"315162";4
"30";"500436270";5
"30";"840789";3
"30";"842544";1
"30";"906221";3
"31";"1003580";2
"31";"1058949";3
"31";"497828";3
"31";"536554";3
"31";"758009";1
"31";"782936";4
"31";"785084";2
"31";"843794";2
"32";"497828";2
"32";"500436270";2
"32";"536554";5
"32";"631842";2
"32";"646389";4
"32";"782936";1
"32";"840789";2
"32";"906221";2
"33";"267805";5
"33";"677179";2
"33";"782936";4
"33";"840789";1
"33";"842544";1
"33";"843794";1
"33";"934433";2
"33";"965839";1
"34";"1035806";3
"34";"1058949";4
"34";"536554";4
"34";"677179";5
"34";"840789";2
"34";"934433";1
"34";"937278";3
"35";"267805";4
"35";"315162";5
"35";"505642";3
"35";"677179";1
"35";"782936";5
"35";"823999";1
"35";"842544";1
"35";"985939";5
"36";"1035806";1
"36";"1058949";1
"36";"500436270";4
"36";"785084";3
"36";"843794";3
"36";"906221";5
"36";"934433";3
"36";"965839";1
"37";"1035806";3
"37";"1058949";1
"37";"1077280";4
"37";"267805";2
"37";"497828";3
"37";"677179";4
"37";"758009";4
"37";"785084";3
"37";"823999";3
"37";"840789";5
"37";"937278";4
"38";"1003580";1
"38";"1058949";3
"38";"267805";2
"38";"497828";4
"38";"505642";1
"38";"785084";3
"38";"840789";2
"38";"934433";5
"38";"937278";3
"38";"985939";2
"39";"1077280";2
"39";"758009";1
"39";"785084";4
"39";"840789";4
"39";"906221";2
"39";"937278";2
"4";"505642";1
"4";"785084";5
"4";"840789";3
"4";"843794";5
"4";"906221";3
"4";"937278";1
"40";"1003580";4
"40";"267805";3
"40";"497828";5
"40";"500436270";4
"40";"758009";3
"40";"842544";3
"40";"843794";1
"40";"906221";1
"40";"937278";1
"41";"1003580";2
"41";"1058949";2
"41";"1077280";3
"41";"497828";4
"41";"500436270";2
"41";"505642";2
"41";"536554";1
"41";"631842";2
"41";"646389";4
"41";"758009";2
"41";"823999";4
"41";"842544";3
"41";"937278";5
"41";"985939";4
"42";"1035806";3
"42";"1058949";1
"42";"1077280";4
"42";"500436270";4
"42";"536554";2
"42";"646389";2
"42";"758009";5
"42";"785084";5
"42";"906221";4
"43";"1003580";2
"43";"1035806";3
"43";"497828";2
"43";"631842";4
"43";"646389";1
"43";"782936";3
"43";"823999";1
"44";"1003580";3
"44";"1035806";1
"44";"646389";1
"44";"677179";2
"44";"785084";1
"44";"823999";1
"44";"840789";2
"44";"843794";3
"44";"965839";2
"45";"315162";2
"45";"497828";2
"45";"536554";3
"45";"782936";3
"45";"842544";4
"45";"934433";2
"46";"500436270";5
"46";"631842";4
"46";"646389";2
"46";"785084";1
"46";"906221";2
"47";"1003580";2
"47";"1058949";3
"47";"1077280";2
"47";"536554";2
"47";"677179";1
"47";"785084";4
"47";"934433";5
"47";"937278";2
"47";"985939";5
"48";"267805";2
"48";"315162";5
"48";"497828";2
"48";"505642";3
"48";"823999";5
"48";"842544";5
"48";"906221";4
"48";"937278";2
"48";"965839";2
"48";"985939";2
"49";"1035806";1
"49";"267805";4
"49";"315162";5
"49";"646389";1
"49";"782936";4
"49";"785084";5
"49";"843794";5
"49";"934433";2
"49";"965839";5
"5";"1035806";1
"5";"267805";3
"50";"267805";5
"50";"505642";2
"50";"536554";1
"50";"631842";4
"50";"646389";3
"50";"823999";2
"50";"843794";1
"6";"1035806";5
"6";"315162";2
"6";"497828";2
"6";"677179";4
"7";"1003580";2
"7";"1077280";2
"7";"497828";3
"7";"782936";2
"7";"906221";4
"7";"965839";2
"7";"985939";2
"8";"1003580";1
"8";"1035806";3
"8";"1058949";5
"8";"1077280";2
"8";"315162";3
"8";"646389";2
"8";"677179";5
"8";"906221";4
"8";"965839";4
"8";"985939";2
"9";"1003580";2
"9";"1058949";3
"9";"505642";3
"9";"631842";2
"9";"677179";2
"9";"758009";5
"9";"823999";5
"9";"840789";2
"9";"843794";1
"9";"937278";3
"9";"985939";5
